first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
Steven,,Baker,ramirezbrittany@example.com,,,,,,,2019-11-08,2022-07-05,Lapsed,L,monthly,canceled_by_admin,never,"Yes, retired union member",IBEW,5427,,Hispanic / Latinx,No,,Membership card only,540788,San Francisco,,ME_02,97852 Elizabeth Squares,Suite 801,Brewerstad,GA,94123,US,,
Megan,,French,henrytristan@example.com,,TRUE,(361)694-5352,4502547127,,(361)694-5352,2023-12-31,2025-01-18,Member in Good Standing,M,annual,canceled_by_admin,canceled_by_admin,"Yes, retired union member",SEIU,1768,,Black / of African Descent,"Yes, graduate student",MOSAIC ELEMENTARY,No,97498,San Francisco,,ME_01,4384 Hinton Plains,Apt. 010,East Clifford,GA,94130,US,,
David,Sara,White,ashleetaylor@example.org,True,,(684)783-6687,745-349-8367,,(684)783-6687,2019-12-06,2023-01-13,Member,M,one-time,canceled_by_processor,,"Yes, current union member",AFT,4594,,Jewish,,,No,854328,San Francisco,,ME_02,2684 Davis Fort,Suite 927,East Tommyview,FM,94117,US,,
Jamie,,Hernandez,rachel05@example.org,,,,246-897-7095,,246-897-7095,2017-07-12,2019-03-15,Lapsed,L,one-time,canceled_by_processor,never,"Yes, retired union member",UFCW,492,,Other,No,,Membership card only,591992,San Francisco,,ME_02,781 Amy Parks,Suite 948,Rebeccatown,NE,94163,US,,
Stephanie,Michael.,Dean,wilsonandrew@example.com,,,,(394)766-8438,,(394)766-8438,2022-04-20,2024-05-22,Member in Good Standing,M,monthly,lapsed,active,Currently organizing my workplace,,,,White / of European Descent,"Yes, high school student",DCYF Alternative Ed. Program,Membership card only,730431,San Francisco,,ME_01,32514 William Burgs,Suite 495,Annahaven,IL,94163,US,,
John,,Mccoy,matthew07@example.org,,,8042556841,,,8042556841,2020-04-19,2022-12-31,Lapsed,L,income-based,past_due,canceled_by_user,"No, not a union member",,,,Pacific Islander,,,No,498789,San Francisco,,ME_02,1567 Cisneros Gateway,Suite 359,Jacquelineport,OR,94160,US,,
Jason,,Martinez,ellenbautista@example.net,,,(859)228-5002,,,(859)228-5002,2023-11-07,2025-03-27,Member in Good Standing,M,income-based,active,never,"No, not a union member",,,,Native American / Indigenous,"Yes, graduate student",HVED Spectrum Program,Yes,587217,San Francisco,,ME_01,9906 Martha Hill,Suite 270,Darleneport,FL,94160,US,,
Garrett,,Ho,timothy90@example.com,,TRUE,,4728860004,,4728860004,2021-10-25,2022-12-21,Lapsed,L,one-time,canceled_by_processor,canceled_by_user,Currently organizing my workplace,,,,Jewish,,,No,908594,San Francisco,,ME_01,88960 Mcbride Ridges,Suite 501,Diazview,GA,94153,US,,
Charles,,Bennett,rcooke@example.com,,TRUE,241-529-4021,7032471273,,241-529-4021,2018-06-26,2020-10-25,Lapsed,L,one-time,canceled_by_failure,canceled_by_processor,"No, but former union member",,,,Black / of African Descent,"Yes, high school student",MEADOW ELEMENTARY SCHOOL,No,270652,San Francisco,,ME_01,460 Courtney Estate,Apt. 540,Lake Monique,AR,94199,US,,
Angel,,Leon,rebecca15@example.org,,,(374)502-2478,945-704-1410,,(374)502-2478,2021-12-11,2024-11-07,Member in Good Standing,M,yearly,canceled_by_processor,canceled_by_failure,"Yes, retired union member",Teamsters,3603,,West Asian / Middle Eastern,"Yes, college student",COOP CTR FOR EXCEP CHILDREN,No,44123,San Francisco,,ME_01,74042 Seth Hills,Suite 616,Simmonsmouth,MA,94122,US,,
Maurice,,Snow,ldecker@example.org,,,7567871650,,,7567871650,2020-06-21,2022-04-29,Lapsed,L,yearly,canceled_by_failure,never,"Yes, retired union member",AFSCME,4034,,Jewish,"Yes, graduate student",Centertown Elementary,Yes,109512,San Francisco,,ME_02,080 Phillip Grove,Apt. 740,Port Lisa,MT,94101,US,,
Bethany,Douglas.,Fisher,fcontreras@example.com,,TRUE,,6193587651,,6193587651,2017-02-13,2023-12-07,Member,M,one-time,canceled_by_failure,canceled_by_processor,Currently organizing my workplace,,,,West Asian / Middle Eastern,"Yes, high school student",ELBERT ELEMENTARY SCHOOL,No,820050,San Francisco,,ME_02,2721 Jeffrey Trafficway,Suite 805,Haynesland,KY,94127,US,,
Chad,,Lewis,kosborn@example.org,,,,(480)527-4179,,(480)527-4179,2017-09-23,2020-07-29,Lapsed,L,monthly,canceled_by_admin,,"Yes, retired union member",,4724,,Pacific Islander,,,No,791461,San Francisco,,ME_02,523 Young Square,Apt. 298,South Joannamouth,AZ,94103,US,,
Marie,,Thompson,mdavis@example.net,,,,756-893-4573,,756-893-4573,2017-07-10,2019-02-28,Lapsed,L,yearly,canceled_by_admin,,"No, not a union member",,,,Jewish,"Yes, college student",Whitmore Lake High School,Yes,869071,San Francisco,,ME_01,8854 Adam Burgs,Suite 232,Westview,IA,94115,US,,
David,,Eaton,smithcathy@example.net,,,2858422317,(683)926-4438,,2858422317,2023-12-04,2025-06-30,Member in Good Standing,M,yearly,canceled_by_processor,canceled_by_user,"Yes, current union member",AFSCME,2409,,Native American / Indigenous,,,Membership card only,866757,San Francisco,,ME_01,4235 Tony Points,Apt. 045,Port Heatherfort,WA,94109,US,,
James,,Robertson,chenkrystal@example.org,,,(654)905-4524,,,(654)905-4524,2019-04-30,2022-06-24,Lapsed,L,annual,canceled_by_failure,,"No, not a union member",,,,Black / of African Descent,"Yes, college student",W.A. HIGGINS MIDDLE SCHOOL ACADEMY,No,401014,San Francisco,,ME_02,722 Bryan Rapid,Apt. 810,Lake Normaville,IN,94158,US,,
Anthony,,Day,edwardmarks@example.net,,,681-319-8913,(478)569-6157,,681-319-8913,2017-09-19,2018-10-11,Lapsed,L,monthly,canceled_by_admin,never,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, college student",PONCA CITY HS,No,19741,San Francisco,,ME_02,6386 Mendez Trail,Suite 529,West Clarence,RI,94163,US,,
Regina,,Cunningham,alvindavis@example.com,True,,,5984641303,,5984641303,2018-08-26,2024-12-07,Member in Good Standing,M,yearly,canceled_by_processor,canceled_by_failure,"Yes, current union member",UFCW,3732,,West Asian / Middle Eastern,No,,Yes,879732,San Francisco,,ME_01,867 Katherine Mount,Apt. 319,Cynthiashire,SD,94164,US,,
Jeremy,,Montgomery,taylorbrian@example.org,,,(490)454-1379,2399976039,,(490)454-1379,2019-12-09,2024-10-17,Member in Good Standing,M,yearly,canceled_by_failure,canceled_by_admin,Currently organizing my workplace,,,,West Asian / Middle Eastern,No,,Yes,673599,San Francisco,,ME_01,26419 Johnson Road,Apt. 456,South Bethany,ID,94122,US,,
Carly,,Brooks,usmith@example.net,,,557-718-5047,,,557-718-5047,2023-10-02,2024-10-23,Member in Good Standing,M,annual,canceled_by_failure,canceled_by_processor,"Yes, retired union member",LIUNA,5433,,West Asian / Middle Eastern,"Yes, college student",Mount Vernon Elementary School,Membership card only,141873,San Francisco,,ME_01,2061 Tara Greens,Apt. 475,Martinberg,ND,94155,US,,
Lindsey,,Gutierrez,haasgina@example.org,,,9255362485,(340)510-3956,,9255362485,2022-11-05,2024-12-10,Member in Good Standing,M,monthly,canceled_by_processor,active,"No, not a union member",,,,Hispanic / Latinx,"Yes, graduate student",Tunkhannock STEM Academy,Membership card only,211492,San Francisco,,ME_02,9860 Thompson Crescent,Apt. 745,Clarkland,SD,94101,US,,
William,,Ingram,fbrady@example.org,,,(542)623-2853,,,(542)623-2853,2023-09-10,2025-08-24,Member in Good Standing,M,one-time,canceled_by_admin,canceled_by_failure,"Yes, current union member",UAW,1689,,Hispanic / Latinx,"Yes, college student",El Modena High,No,412927,San Francisco,,ME_01,3867 Jensen Harbors,Apt. 059,East Caitlinville,OK,94151,US,,
Edward,Alexander.,Miller,bryan09@example.com,,TRUE,8278877045,(656)304-6758,,8278877045,2019-12-28,2022-05-30,Lapsed,L,yearly,canceled_by_admin,canceled_by_processor,"No, but former union member",,,,West Asian / Middle Eastern,,,Yes,723528,San Francisco,,ME_01,577 Vincent Route,Apt. 075,Robertborough,AL,94112,US,,
Ryan,,Reynolds,jneal@example.org,,TRUE,838-963-8656,9459730860,,838-963-8656,2020-08-15,2021-10-14,Lapsed,L,one-time,past_due,canceled_by_failure,Currently organizing my workplace,,,,West Asian / Middle Eastern,,,No,67704,San Francisco,,ME_01,392 Jonathan Green,Apt. 597,Wellsmouth,OH,94144,US,,
Tina,John,Sanchez,jermaine29@example.net,,,(990)559-2466,8542725657,,(990)559-2466,2016-08-26,2018-04-18,Lapsed,L,yearly,past_due,never,"No, but former union member",,,,Black / of African Descent,No,,Membership card only,320977,San Francisco,,ME_02,840 Michelle Falls,Apt. 047,East Kimberlyborough,NE,94123,US,,
Craig,,Garrett,kgentry@example.com,,,533-744-2516,,,533-744-2516,2018-12-31,2023-02-02,Member,M,annual,past_due,canceled_by_admin,,,,,Other,"Yes, high school student",BIRDNECK ELEM,No,578701,San Francisco,,ME_01,2061 Justin Drives,Apt. 563,West Kellytown,NV,94125,US,,
Alexander,Cole.,Hunt,whitejodi@example.org,,,654-325-6412,,,654-325-6412,2021-05-12,2024-03-20,Member in Good Standing,M,one-time,canceled_by_failure,,"Yes, current union member",AFSCME,3190,,Native American / Indigenous,No,,Membership card only,337373,San Francisco,,ME_01,835 Cole Stravenue,Suite 171,North Melissaburgh,HI,94158,US,,
Randy,,Dodson,ntrevino@example.net,True,,807-217-6309,,,807-217-6309,2020-05-23,2023-09-21,Member,M,yearly,canceled_by_processor,canceled_by_failure,Currently organizing my workplace,,,,White / of European Descent,No,,Yes,725617,San Francisco,,ME_02,192 Lucas Mews,Apt. 075,Port Scott,WY,94161,US,,
Ricky,,Garcia,taylormichael@example.com,,,678-212-0189,(731)373-7253,,678-212-0189,2016-05-30,2019-01-30,Lapsed,L,yearly,canceled_by_processor,canceled_by_failure,"Yes, current union member",SEIU,410,,White / of European Descent,,,Yes,427797,San Francisco,,ME_01,2400 Tracy Village,Suite 145,East Sharonborough,ID,94175,US,,
Amber,,Mcclain,christopher77@example.com,,,,,,,2017-03-07,2024-06-24,Member in Good Standing,M,yearly,canceled_by_failure,canceled_by_failure,"Yes, current union member",SEIU,3346,,Prefer Not to Say,,,No,722969,San Francisco,,ME_01,82507 Catherine Fords,Suite 211,Wilsonville,FM,94102,US,,
Kelly,,Clark,alicia46@example.org,,,8493958757,,,8493958757,2016-05-29,2024-10-13,Member in Good Standing,M,yearly,canceled_by_admin,active,"Yes, current union member",UAW,2741,,Other,,,Membership card only,515068,San Francisco,,ME_02,70036 Gregory Knoll,Suite 347,North Nichole,LA,94133,US,,
Melissa,,Wood,cstanton@example.net,,,,(859)559-8544,,(859)559-8544,2016-10-18,2020-05-20,Lapsed,L,yearly,lapsed,,Currently organizing my workplace,,,,White / of European Descent,No,,No,525138,San Francisco,,ME_02,319 Contreras Junctions,Suite 745,Lopezside,AL,94133,US,,
Anna,,Mcdonald,robinmiller@example.net,,,,,,,2018-06-25,2019-07-11,Lapsed,L,income-based,canceled_by_failure,,"Yes, current union member",NEA,1919,,Pacific Islander,"Yes, college student",GENEVA NORTH HIGH SCHOOL,Yes,722356,San Francisco,,ME_02,5114 Justin Mills,Apt. 019,Rebeccafurt,MD,94124,US,,
Erik,,Williams,igarza@example.net,,,,,,,2022-05-30,2024-01-11,Member in Good Standing,M,monthly,canceled_by_processor,canceled_by_user,"Yes, current union member",SEIU,3863,,West Asian / Middle Eastern,"Yes, graduate student",BELMONT SCHOOL,No,502746,San Francisco,,ME_02,1382 Lisa Spring,Apt. 190,Frankview,PA,94017,US,,
Katherine,,Reyes,feliciapeterson@example.com,,,8444239512,4688194513,,8444239512,2020-05-26,2023-08-23,Member,M,monthly,canceled_by_processor,never,"Yes, current union member",USW,165,,Native American / Indigenous,"Yes, college student",A.C. Alexander Elementary School,Membership card only,645173,San Francisco,,ME_02,829 Deleon Lake,Suite 620,New Eric,MN,94108,US,,
Audrey,,Washington,iansmith@example.org,True,,817-644-6094,376-313-8209,,817-644-6094,2018-04-07,2019-10-04,Lapsed,L,monthly,canceled_by_processor,canceled_by_admin,"No, but former union member",,,,Prefer Not to Say,No,,Yes,242232,San Francisco,,ME_01,25991 Xavier Hollow,Suite 053,New Jonathanstad,MO,94118,US,,
Stephen,Angela.,Parker,pereztyler@example.org,,,,,,,2021-11-12,2024-01-15,Member in Good Standing,M,one-time,active,,"No, not a union member",,,,West Asian / Middle Eastern,No,,Yes,112646,San Francisco,,ME_01,023 Michelle Gateway,Apt. 196,Lake Jennifer,TX,94120,US,,
Amanda,Jonathan,Hicks,gwright@example.com,,,815-355-7322,(745)342-7580,,815-355-7322,2017-11-09,2022-04-20,Lapsed,L,monthly,lapsed,canceled_by_user,"Yes, current union member",UFCW,3106,,West Asian / Middle Eastern,"Yes, high school student",MORA HIGH,Membership card only,469423,San Francisco,,ME_01,0066 Allison Parkway,Suite 661,Floresborough,MD,94143,US,,
Michael,,Franklin,lbaker@example.com,,,799-635-7669,585-907-0774,,799-635-7669,2019-06-05,2021-01-29,Lapsed,L,annual,lapsed,,"No, but former union member",,,,Other,No,,Yes,66283,San Francisco,,ME_02,054 Chaney Creek,Apt. 919,East Huntermouth,AK,94155,US,,
Dustin,,Brown,lauriereed@example.com,,TRUE,,,,,2020-12-03,2024-10-16,Member in Good Standing,M,income-based,past_due,,"No, not a union member",,,,Hispanic / Latinx,No,,No,937502,San Francisco,,ME_01,26877 Gwendolyn Port,Apt. 160,South Susanstad,MN,94137,US,,
Shannon,,Rodriguez,jamiewalter@example.com,,,671-852-1415,563-834-3674,,671-852-1415,2019-12-29,2021-11-24,Lapsed,L,one-time,lapsed,canceled_by_admin,"No, but former union member",,,,Jewish,"Yes, college student",WCA Middle School,No,453440,San Francisco,,ME_02,9651 Carr Orchard,Suite 341,Rodriguezhaven,OR,94161,US,,
Jacob,,Archer,joshuaguerrero@example.net,,,(336)979-6852,6085674892,,(336)979-6852,2016-07-16,2022-12-05,Lapsed,L,yearly,canceled_by_failure,canceled_by_user,"No, not a union member",,,,Hispanic / Latinx,"Yes, graduate student",CONN-WEST ELEM.,No,36134,San Francisco,,ME_01,9061 Fred Pike,Suite 142,Port Denise,NJ,94133,US,,
Justin,,Raymond,logandunn@example.com,,,961-698-8451,,,961-698-8451,2021-08-18,2023-10-15,Member,M,annual,past_due,canceled_by_user,"Yes, retired union member",UAW,4546,,Hispanic / Latinx,"Yes, college student",Planada Elementary,Membership card only,161051,San Francisco,,ME_02,9020 Nicholas Ville,Apt. 445,East Christopherbury,ID,94102,US,,
Joseph,,Roberts,daniel45@example.net,,,8296799415,306-370-4649,,8296799415,2018-03-24,2019-12-02,Lapsed,L,yearly,canceled_by_failure,canceled_by_admin,"No, but former union member",,,,Other,"Yes, high school student",Pioneer Valley Chinese Immersion Charter School,Membership card only,848978,San Francisco,,ME_02,01078 Guzman River,Apt. 730,Lake Jenniferburgh,NE,94114,US,,
Tyler,,Kirk,nathangreen@example.net,,,,,,,2022-06-30,2024-06-23,Member in Good Standing,M,yearly,lapsed,canceled_by_admin,"No, but former union member",,,,Black / of African Descent,No,,Membership card only,770003,San Francisco,,ME_02,91744 Alexandra Views,Suite 875,Gregoryhaven,TN,94124,US,,
Robert,,Day,hilleric@example.com,,TRUE,7415332947,3638496845,,7415332947,2023-10-17,2025-02-08,Member in Good Standing,M,yearly,active,canceled_by_admin,Currently organizing my workplace,,,,Hispanic / Latinx,"Yes, college student",Spring Creek Matanzas Charter,Membership card only,579099,San Francisco,,ME_01,9610 Emily Road,Apt. 299,New Maxfort,MI,94124,US,,
Timothy,,Flores,amy31@example.net,,,,733-279-4414,,733-279-4414,2016-08-20,2018-06-08,Lapsed,L,income-based,canceled_by_admin,canceled_by_user,"No, but former union member",,,,Pacific Islander,"Yes, high school student",LAUREL OAK ELEMENTARY SCHOOL,Membership card only,912457,San Francisco,,ME_02,391 Alicia Harbors,Apt. 039,North Janice,FM,94114,US,,
Darrell,,Lee,pamela76@example.com,,,(300)582-5241,383-566-0982,,(300)582-5241,2019-05-30,2021-03-13,Lapsed,L,one-time,lapsed,,"Yes, current union member",USW,28,,Pacific Islander,"Yes, college student",Smith Vocational and Agricultural High,Membership card only,513322,San Francisco,,ME_02,3335 Murray Turnpike,Apt. 236,South Jeffery,NH,94188,US,,
Courtney,,Smith,ehill@example.org,,,(583)545-7182,,,(583)545-7182,2020-01-30,2021-11-30,Lapsed,L,yearly,past_due,canceled_by_processor,"Yes, current union member",AFSCME,4199,,West Asian / Middle Eastern,"Yes, graduate student",Jimmy Huntington School,Yes,478145,San Francisco,,ME_01,4809 Vaughan Dam,Suite 027,Carterstad,OH,94138,US,,
Frank,,Gilbert,qmelendez@example.org,,,607-304-5937,,,607-304-5937,2019-01-28,2020-08-30,Lapsed,L,one-time,canceled_by_failure,canceled_by_user,"Yes, retired union member",NEA,3145,,Asian,"Yes, graduate student",BROOKLYN LANDMARK ELEMENTARY SCHOOL,Membership card only,597456,San Francisco,,ME_02,22050 Alec Village,Apt. 205,East Jonathan,KY,94104,US,,
Aaron,,Parks,hunterlauren@example.org,,,(649)910-1938,,,(649)910-1938,2021-03-16,2024-11-23,Member in Good Standing,M,annual,active,canceled_by_admin,Currently organizing my workplace,,,,West Asian / Middle Eastern,"Yes, high school student",G W KRIEGER SCHOOL,No,533941,San Francisco,,ME_01,31671 Aguilar Glens,Suite 806,South Kelly,GA,94142,US,,
Michael,,Gutierrez,ijohnson@example.net,,,2676578088,,,2676578088,2019-06-21,2024-09-28,Member in Good Standing,M,income-based,canceled_by_admin,canceled_by_processor,"Yes, current union member",AFSCME,1463,,Prefer Not to Say,"Yes, graduate student",Roy Jr High,Membership card only,640995,San Francisco,,ME_01,639 Alvarez Inlet,Suite 716,Farrellborough,SD,94142,US,,
Amanda,,Richards,elizabeth39@example.com,True,,,,,,2016-02-21,2023-07-06,Member,M,yearly,canceled_by_processor,canceled_by_processor,"No, but former union member",,,,Prefer Not to Say,"Yes, college student",Tolleson Virtual High School,Membership card only,123374,San Francisco,,ME_02,1386 Nathan Tunnel,Suite 778,Port Kenneth,WV,94134,US,,
Cory,,Webster,mkelley@example.com,,TRUE,499-945-1302,,,499-945-1302,2020-03-05,2022-01-07,Lapsed,L,monthly,canceled_by_admin,canceled_by_user,"Yes, current union member",Teamsters,3773,,Asian,"Yes, college student",Stem Academy at SVT,No,489650,San Francisco,,ME_01,5011 Denise Spurs,Apt. 224,Jonathanview,VI,94141,US,,
Robert,,Lawrence,boydheather@example.org,,,3078770541,8799230961,,3078770541,2023-12-09,2025-02-10,Member in Good Standing,M,monthly,canceled_by_admin,active,"Yes, retired union member",UFCW,3059,,Asian,,,Membership card only,440882,San Francisco,,ME_01,88013 Jacob Point,Suite 107,Watkinsview,SC,94155,US,,
Alexandria,,Patterson,hweiss@example.org,,TRUE,383-643-9371,647-534-6887,,383-643-9371,2017-07-09,2019-04-09,Lapsed,L,yearly,past_due,canceled_by_user,"Yes, retired union member",AFT,1369,,West Asian / Middle Eastern,No,,No,329367,San Francisco,,ME_01,43052 Pham Branch,Suite 705,Loweshire,MP,94119,US,,
Christopher,,Quinn,fthompson@example.org,,,2989844330,2567574390,,2989844330,2017-06-05,2024-08-07,Member in Good Standing,M,annual,active,canceled_by_admin,"No, not a union member",,,,Pacific Islander,"Yes, graduate student",Westfield Community School,No,6114,San Francisco,,ME_02,243 Brandy Vista,Suite 279,Brianmouth,TN,94123,US,,
Andrea,Zachary,Galvan,brandon97@example.org,,,4969616138,,,4969616138,2020-04-22,2022-08-25,Lapsed,L,monthly,canceled_by_failure,canceled_by_admin,"Yes, current union member",Teamsters,4616,,Asian,"Yes, college student",Howe Elementary,No,513351,San Francisco,,ME_02,9552 Andersen Overpass,Apt. 349,Thomasville,ID,94107,US,,
Patrick,,Robinson,qjordan@example.org,,,(248)445-2013,(260)706-0636,,(248)445-2013,2022-05-01,2024-12-18,Member in Good Standing,M,yearly,active,canceled_by_processor,"No, not a union member",,,,Prefer Not to Say,,,Yes,382124,San Francisco,,ME_02,754 David Ville,Suite 818,East Stevenbury,NJ,94147,US,,
Dale,,Landry,buchananedward@example.org,,TRUE,,,,,2021-12-14,2023-08-20,Member,M,yearly,canceled_by_processor,never,"Yes, current union member",AFSCME,5746,,Jewish,"Yes, graduate student",DERMOTT HIGH SCHOOL,Membership card only,173953,San Francisco,,ME_01,3620 Lewis Wells,Suite 008,North Katelyn,DE,94104,US,,
Malik,,Santiago,amber70@example.net,True,TRUE,712-984-9541,334-323-3949,,712-984-9541,2021-02-09,2022-09-22,Lapsed,L,annual,canceled_by_admin,canceled_by_processor,"No, but former union member",,,,White / of European Descent,No,,Membership card only,801157,San Francisco,,ME_02,641 Jason Cliffs,Suite 496,Lake Katietown,NH,94133,US,,
Nathan,,Morales,longadam@example.org,,,672-422-0280,,,672-422-0280,2021-12-17,2023-09-16,Member,M,one-time,lapsed,canceled_by_failure,"Yes, retired union member",SEIU,4635,,Hispanic / Latinx,,,No,125122,San Francisco,,ME_01,72844 Kimberly Radial,Apt. 165,Charleneborough,ID,94135,US,,
Jacob,,Davis,olivermelanie@example.org,,,958-990-9682,,,958-990-9682,2020-02-13,2021-10-21,Lapsed,L,annual,canceled_by_failure,canceled_by_user,"Yes, current union member",UFCW,2457,,Other,"Yes, graduate student",Meadow Ridge Elementary School,Membership card only,55445,San Francisco,,ME_02,44449 Cynthia Points,Suite 031,Brooksberg,SC,94130,US,,
Brenda,,Whitehead,christopher57@example.org,,,947-921-7157,,,947-921-7157,2020-01-21,2021-08-02,Lapsed,L,monthly,past_due,canceled_by_user,"Yes, retired union member",UAW,1515,,Asian,"Yes, college student",West Cottonwood Junior High,No,389578,San Francisco,,ME_02,264 Johnson Loaf,Apt. 659,Tammystad,NM,94158,US,,
Melanie,,Burns,mercermartin@example.org,,,9663760707,,,9663760707,2016-11-05,2018-03-09,Lapsed,L,yearly,lapsed,canceled_by_processor,"No, but former union member",,,,Native American / Indigenous,"Yes, graduate student",Ocean View Early Education,Membership card only,725906,San Francisco,,ME_02,4530 William Cliffs,Suite 759,North Robert,PR,94110,US,,
Hannah,,Davis,dianaanderson@example.com,,,9407781645,,,9407781645,2020-01-31,2023-03-12,Member,M,income-based,canceled_by_failure,canceled_by_processor,"Yes, current union member",USW,1520,,West Asian / Middle Eastern,"Yes, college student",WARWOOD SCHOOL,No,67888,San Francisco,,ME_01,43308 Barbara Fort,Apt. 847,Dawsonport,SD,94133,US,,
Johnathan,,Alvarez,megan94@example.com,,TRUE,,,,,2019-12-22,2022-03-14,Lapsed,L,one-time,lapsed,canceled_by_processor,Currently organizing my workplace,,,,Prefer Not to Say,No,,No,262459,San Francisco,,ME_02,08585 Blankenship Plaza,Suite 073,Kevinland,OK,94120,US,,
Renee,,Coffey,glennadam@example.net,,,7036341064,,,7036341064,2023-01-31,2024-09-17,Member in Good Standing,M,income-based,active,never,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, high school student",ROBBINS LANE ELEMENTARY SCHOOL,Yes,987680,San Francisco,,ME_01,028 Sierra Crest,Apt. 016,West Jennifer,PA,94154,US,,
Jonathan,,Adkins,fhughes@example.com,,,9792061780,(507)254-3963,,9792061780,2018-09-27,2021-02-07,Lapsed,L,yearly,canceled_by_processor,canceled_by_admin,"Yes, current union member",Teamsters,731,,Pacific Islander,,,No,421181,San Francisco,,ME_02,02529 James Forges,Suite 492,Wrightmouth,LA,94150,US,,
Ryan,,Daniels,davistammy@example.net,,,2113308604,,,2113308604,2016-12-27,2018-10-03,Lapsed,L,monthly,canceled_by_failure,never,"No, not a union member",,,,White / of European Descent,,,No,823130,San Francisco,,ME_01,281 Jennifer Ville,Suite 953,Kristinachester,DE,94156,US,,
